cardID,username,email,prename,surname,birthDate,sex,validityDate,state,,rights,street,postcode,city
370e3c2j,DenSch,DeSc0062@stud.hs-kl.de,Denny,Schacht,2000-11-11,diverse,2020-03-31,active,,user,Eckhart-Wagner-Allee 7,57903,Arnstadt
th0a4alq,MicRay,MiRa0024@stud.hs-kl.de,Michel,Raymond,1991-04-17,female,2020-10-01,active,,admin,Zobelstraße 3,94558,Artern
110caa9j,JulLef,JuLe0047@stud.hs-kl.de,Jules,Lefort,1999-09-01,female,2021-02-26,active,,user,Barthweg 1,11129,Jüterbog
hc74vyd9,SimGro,SiGr0068@stud.hs-kl.de,Simone,Grondin,2008-06-09,male,2019-10-12,inactive,,user,Gottlieb-Hornig-Straße 6,25282,Kassel
3xvi4jvo,SteWol,StWo0041@stud.hs-kl.de,Stephanie,Wolfe,2012-12-21,female,2020-06-19,active,,admin,Ilhan-Schaaf-Platz 0,47676,Kusel
wds7b19j,CorSch,CoSc0005@stud.hs-kl.de,Cora,Scheuermann,1971-09-06,male,2021-02-08,banned,,admin,Ernst-Jungfer-Straße 025,05358,Stade
o6mfblz8,PatPay,PaPa0073@stud.hs-kl.de,Patricia,Payne,1970-03-24,female,2019-11-12,banned,,admin,Hanne-Lore-Hethur-Weg 3/4,80877,Goslar
x8njtcvc,LarKin,LaKi0013@stud.hs-kl.de,Larry,King,1971-11-08,male,2020-01-13,active,,user,Buchholzring 819,93437,Wolfach
wrbot9lh,DenDa ,DeDa0002@stud.hs-kl.de,Denise,Da Costa,2014-12-01,female,2020-08-26,banned,,admin,Simone-Stroh-Allee 1/4,50343,Kaiserslautern
qp9irt75,MarDum,MaDu0014@stud.hs-kl.de,Martine,Dumont,1998-10-21,female,2021-02-23,active,,user,Leonhard-Jähn-Ring 9,02431,Mühlhausen
1lu2spd6,LucMun,LuMu0036@stud.hs-kl.de,Lucy,Munoz,1974-12-18,diverse,2021-07-04,active,,user,Kühnertgasse 6,47771,Freudenstadt
1lq97y5m,ElmRoh,ElRo0088@stud.hs-kl.de,Elma,Roht,1973-10-21,male,2020-12-22,inactive,,admin,Hardy-Fritsch-Weg 30,67635,Neustadtner Waldnaab
099qtpa0,HanDöh,HaDö0026@stud.hs-kl.de,Hans-Günter,Döhn,2013-09-14,female,2019-12-28,active,,user,Enno-Jopich-Weg 5/1,83758,Rostock
njv51ck5,DavSch,DaSc0019@stud.hs-kl.de,David,Schmiedecke,1997-01-10,female,2021-07-02,inactive,,user,Marten-Tschentscher-Platz 861,74783,Weißenfels
zr8yynn2,RobRam,RoRa0092@stud.hs-kl.de,Robert,Ramos,2019-08-04,diverse,2019-08-25,inactive,,user,Eckbauerallee 7,64618,Meppen
gq176jxk,JeaSan,JeSa0085@stud.hs-kl.de,Jeanette,Sanders,2012-08-14,male,2019-08-10,banned,,user,Vladimir-Oestrovsky-Straße 7/5,40976,Euskirchen
1ow6wbaq,BerDuh,BeDu0089@stud.hs-kl.de,Bertrand,Duhamel,1973-01-05,diverse,2020-03-05,banned,,admin,Beckmannplatz 2/6,78120,Gransee
f8mp9vhq,IstEbe,IsEb0065@stud.hs-kl.de,Istvan,Eberhardt,2008-10-29,male,2020-06-30,active,,user,Anja-Krein-Platz 955,46799,Bergzabern
kow8c0pp,NicJon,NiJo0018@stud.hs-kl.de,Nicole,Jones,2009-04-07,male,2020-06-07,banned,,admin,Antonino-Junken-Platz 440,46412,Lobenstein
x5ey30rk,MarMor,MaMo0011@stud.hs-kl.de,Margot,Moreno,2014-01-14,female,2021-01-16,inactive,,user,Annamaria-Heintze-Gasse 76,10030,Eisenhüttenstadt
1w3a9uh8,LisBal,LiBa0077@stud.hs-kl.de,Lisa,Ball,1991-01-03,male,2020-12-24,inactive,,admin,Marie-Louise-Metz-Gasse 39,11556,Pinneberg
6hndd3sz,JerMan,JeMa0088@stud.hs-kl.de,Jerry,Mann,1978-07-11,male,2020-12-01,inactive,,user,Kranzweg 717,15403,Dinkelsbühl
